generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
54,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.298153547133139,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
55,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.298153547133139,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
56,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.298153547133139,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
57,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.28107288629737615,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
58,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.25928085519922256,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
59,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.20737803692905735,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
60,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.18506511175898932,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
61,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.18506511175898932,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
62,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.18506511175898932,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
63,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.18506511175898932,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
